Kode,Jenis_Kejahatan,2018,2019,2020,2021,2022,2023,Satuan,Sifat_Data,Sumber
Data Vertikal Kepolisian Republik Indonesia Daerah,Tindak Pidana Konvensional,"4.318,00","3.992,00","4.239,00","4.913,00","4.617,00","3.371,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Pencurian dengan Pemberatan,"606,00","479,00","335,00","370,00","540,00","325,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Pencurian dengan Kekerasan,"153,00","77,00","63,00","48,00","35,00","23,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Pencurian Kendaraan Bermotor,"451,00","389,00","148,00","106,00","183,00","65,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Pencurian Biasa,"751,00","553,00","581,00","695,00","854,00","484,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Aniaya Ringan,"336,00","278,00","44,00","286,00",0.00,"0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Aniaya Berat,"66,00","86,00","30,00","36,00",0.00,"0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Penganiayaan,"402,00","364,00","74,00","322,00","450,00","302,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Pembunuhan,"2,00","4,00","13,00","26,00","11,00","10,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Perkosaan,"11,00","8,00","22,00","16,00","14,00","5,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
Data Vertikal Kepolisian Republik Indonesia Daerah,        Perzinahan,"39,00","37,00","28,00","37,00","34,00","35,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah
