Kode,Jenis_Kejahatan,2018,2019,2020,2021,2022,2023,Satuan,Sifat_Data,Sumber
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,Tindak Pidana Konvensional,"681,00","983,00","422,00","1.181,00","1.461,00","151,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        Pencurian dengan Pemberatan,"114,00","156,00","121,00","175,00","219,00","29,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        Pencurian dengan Kekerasan,"34,00","28,00","25,00","27,00","23,00","3,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        Pencurian Kendaraan Bermotor,"88,00","78,00","96,00","104,00","149,00","29,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        Pencurian Biasa,"45,00","100,00","100,00","216,00","260,00","53,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        Aniaya Ringan,"0,00","2,00","3,00","2,00","5,00",0.00,Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        Aniaya Berat,"57,00","83,00","70,00","89,00","111,00",0.00,Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        Pembunuhan,"2,00",0.00,"0,00","3,00","2,00",0.00,Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        Perkosaan,"1,00","2,00","3,00","0,00","1,00",0.00,Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        Perzinahan,"4,00","7,00","8,00","6,00","6,00","1,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        Kesusilaan / Cabul,"5,00","5,00","4,00","0,00","13,00",0.00,Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        Penggelapan / Fidusa,"82,00","64,00","68,00","10,00","4,00",0.00,Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        Penipuan / Perbuatan Curang,"94,00","122,00","119,00","172,00","188,00",0.00,Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        KDRT,"21,00","28,00","22,00","3,00","30,00",0.00,Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,        Konvensional Lainnya,"134,00","308,00","224,00","6,00",0.00",0.00,Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
Data Vertikal Kepolisian Republik Indonesia Daerah Bantul,Tindak Pidana Transnasional,"78,00","95,00","106,00","5,00","4,00",0.00,Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Bantul
