Kode,Jenis_Kejahatan,2018,2019,2020,2021,2022,2023,Satuan,Sifat_Data,Sumber
Data Vertikal Kepolisian Republik Indonesia Daerah,Tindak Pidana Konvensional,"0,00","0,00","286,00","402,00","306,00","135,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Pencurian dengan Pemberatan,"59,00","52,00","28,00","48,00","40,00","28,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Pencurian dengan Kekerasan,"4,00","4,00","6,00","1,00","0,00","1,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Pencurian Kendaraan Bermotor,"22,00","32,00","17,00","20,00","30,00","11,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Pencurian Biasa,"2,00","26,00","19,00","17,00","34,00","26,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Aniaya Ringan,"0,00","11,00","14,00","0,00","3,00","15,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Aniaya Berat,"0,00","0,00","0,00","11,00","19,00","0,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Pembunuhan,"0,00","1,00","1,00","0,00","2,00","0,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Perkosaan,"0,00","1,00","1,00","1,00","2,00","1,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Perzinahan,"0,00","0,00","4,00","0,00","3,00","2,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Kesusilaan / Cabul,"0,00","0,00","0,00","1,00","1,00","1,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Penggelapan / Fidusa,"9,00","3,00","1,00","28,00","21,00","9,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Penipuan / Perbuatan Curang,"32,00","28,00","33,00","1,00","77,00","20,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        KDRT,"6,00","14,00","10,00","9,00","9,00","2,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Konvensional Lainnya,"230,00","119,00","0,00","197,00","306,00","0,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,Tindak Pidana Transnasional,"6,00","0,00","0,00","0,00","1,00","1,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Teroris,,"0,00","0,00","0,00","0,00","0,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Narkoba,"42,00","0,00","0,00","63,00","62,00","1,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Perdagangan Manusia,"0,00","0,00","0,00","0,00","0,00","0,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Cyber Crime,"0,00","0,00","0,00","0,00","0,00","0,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Tindak Pidana Transnasional Lainnya,"0,00","0,00","0,00","0,00","0,00","0,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,Tindak Pidana Terhadap Kekayaan Negara,"0,00","0,00","6,00","1,00","0,00","0,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Ilegal Logging,"4,00","4,00","3,00","1,00","4,00","4,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Ilegal Fishing,"0,00","0,00","0,00","0,00","0,00","0,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Ilegal Mining,"0,00","0,00","1,00","1,00","0,00","0,00",Kasus,Tahunan,Polres Gunungkidul
Data Vertikal Kepolisian Republik Indonesia Daerah,        Korupsi,"0,00","0,00","1,00","1,00","0,00","0,00",Kasus,Tahunan,Polres Gunungkidul
