Kode,Jenis_Kejahatan,2018,2019,2020,2021,2022,2023,Satuan,Sifat_Data,Sumber
Data Vertikal Kepolisian Republik Indonesia Daerah,Tindak Pidana Konvensional,"858,00","527,00","354,00","553,00","438,00","188,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
Data Vertikal Kepolisian Republik Indonesia Daerah,Pencurian dengan Pemberatan,"96,00","37,00","24,00","21,00","51,00","12,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
Data Vertikal Kepolisian Republik Indonesia Daerah,Pencurian dengan Kekerasan,"20,00","16,00","10,00","11,00","6,00","2,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
Data Vertikal Kepolisian Republik Indonesia Daerah,Pencurian Kendaraan Bermotor,"95,00","96,00","51,00","53,00","81,00","10,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
Data Vertikal Kepolisian Republik Indonesia Daerah,Pencurian Biasa,"224,00","113,00","66,00","85,00","109,00","28,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
Data Vertikal Kepolisian Republik Indonesia Daerah,Aniaya Ringan,"97,00","81,00","58,00","90,00","0,00","0,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
Data Vertikal Kepolisian Republik Indonesia Daerah,Aniaya Berat,"13,00","1,00","0,00","1,00","3,00","0,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
Data Vertikal Kepolisian Republik Indonesia Daerah,Pembunuhan,"0,00","0,00","0,00","0,00","2,00","0,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
Data Vertikal Kepolisian Republik Indonesia Daerah,Perkosaan,"1,00","1,00","0,00","1,00","3,00","0,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
Data Vertikal Kepolisian Republik Indonesia Daerah,Perzinahan,"0,00","6,00","1,00","5,00","7,00","2,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
Data Vertikal Kepolisian Republik Indonesia Daerah,Kesusilaan / Cabul,"9,00","4,00","4,00","6,00","6,00","4,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
Data Vertikal Kepolisian Republik Indonesia Daerah,Penggelapan / Fidusa,"73,00","53,00","38,00","44,00","5,00","18,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
Data Vertikal Kepolisian Republik Indonesia Daerah,Penipuan / Perbuatan Curang,"212,00","104,00","96,00","131,00","157,00","44,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
Data Vertikal Kepolisian Republik Indonesia Daerah,KDRT,"18,00","15,00","6,00","9,00","8,00","4,00",Kasus,Tahunan,KEPOLISIAN RESOR KOTA YOGYAKARTA
