Kode,Jenis_Kejahatan,2018,2019,2020,2021,2022,2023,Satuan,Sifat_Data,Sumber
Data Vertikal Kepolisian Republik Indonesia Daerah,Tindak Pidana Konvensional,"0,00","0,00","533,00","491,00","430,00","121,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Pencurian dengan Pemberatan,"22,00","0,00","50,00","57,00","36,00","22,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Pencurian dengan Kekerasan,"0,00","0,00","6,00","0,00","0,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Pencurian Kendaraan Bermotor,"6,00","0,00","27,00","26,00","38,00","6,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Pencurian Biasa,"9,00","0,00","58,00","27,00","41,00","9,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Aniaya Ringan,"0,00","0,00","2,00","3,00","26,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Aniaya Berat,"0,00","0,00","0,00","0,00","0,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Pembunuhan,"0,00","0,00","1,00","3,00","0,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Perkosaan,"0,00","0,00","3,00","2,00","0,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Perzinahan,"0,00","0,00","2,00","7,00","0,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Kesusilaan / Cabul,"0,00","0,00","1,00","4,00","0,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Penggelapan / Fidusa,"0,00","0,00","1,00","0,00","20,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Penipuan / Perbuatan Curang,"0,00","0,00","48,00","78,00","59,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,KDRT,"0,00","0,00","7,00","10,00","0,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Konvensional Lainnya,"0,00","0,00","270,00","235,00","210,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Tindak Pidana Transnasional,"0,00","0,00","53,00","0,00","0,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
Data Vertikal Kepolisian Republik Indonesia Daerah,Teroris,"0,00","0,00","0,00","0,00","0,00","0,00",Kasus,Tahunan,Kepolisian Republik Indonesia Daerah Kulon Progo
